,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
459,Sanitarium,UP&GO Liquid Breakfast Strawberry,9.7,9.7,1500,1500,East Village,1500,ml,10.5,,1,Sanitarium,Up&Go Strawberry Cereal,https://www.coles.com.au/product/sanitarium-upandgo-strawberry-cereal-6x250ml-1.5l-9490656
460,Sanitarium,UP&GO Liquid Breakfast Strawberry,9.7,9.7,1500,1500,Merrylands,1500,ml,10.5,,1,Sanitarium,Up&Go Strawberry Cereal,https://www.coles.com.au/product/sanitarium-upandgo-strawberry-cereal-6x250ml-1.5l-9490656
461,Seacrown,Sardines in Vegetable oil,0.75,0.75,125,125,East Village,125,g,0.85,,,,,https://www.coles.com.au/product/seacrown-sardines-in-vegetable-oil-125g-4486470
462,Seacrown,Sardines in Vegetable oil,0.75,0.75,125,125,Merrylands,125,g,0.85,,,,,https://www.coles.com.au/product/seacrown-sardines-in-vegetable-oil-125g-4486470
463,Sunny Queen,Extra Large free range Eggs 12 Pack,5.5,5.5,700,700,East Village,700,g,7.2,,,,,https://www.coles.com.au/product/sunny-queen-free-range-extra-large-eggs-12-pack-700g-5417789
464,Sunny Queen,Extra Large free range Eggs 12 Pack,5.5,5.5,700,700,Merrylands,700,g,7.2,,,,,https://www.coles.com.au/product/sunny-queen-free-range-extra-large-eggs-12-pack-700g-5417789
465,Sunrice,White Rice Premium Long Grain,2,2,1000,1000,East Village,1000,g,2.4,,,,,https://www.coles.com.au/product/sunrice-long-grain-premium-white-rice-1kg-122518
466,Sunrice,White Rice Premium Long Grain,2,2,1000,1000,Merrylands,1000,g,2.4,,,,,https://www.coles.com.au/product/sunrice-long-grain-premium-white-rice-1kg-122518
467,Tablelands,Tablelands Dairy Free Buttery,2.1,2.1,500,500,East Village,,,,,,,,
468,Tablelands,Tablelands Dairy Free Buttery,2.1,2.1,500,500,Merrylands,,,,,,,,
