,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,price,special_price,substitution,substitute_brand,substitute_productname
338,Woolworths,Fresh cabbage,4.5,4.5,908,908,Burwood,NA,2.8,,,,
339,Woolworths,Fresh cauliflower,4.5,4.5,1000,1000,Auburn,NA,1.95,,,,
340,Woolworths,Fresh cauliflower,4.5,4.5,1000,1000,Burwood,NA,1.95,,,,
341,Woolworths,Fresh Packham Pear,3.9,3.9,1000,1000,Auburn,1000,3.9,,,,
342,Woolworths,Fresh Packham Pear,3.9,3.9,1000,1000,Burwood,1000,3.9,,,,
343,Woolworths,Frozen Basa Fillets,8,8,1000,1000,Auburn,1000,8,,,,
344,Woolworths,Frozen Basa Fillets,8,8,1000,1000,Burwood,1000,8,,,,
345,Woolworths,Frozen Fish Fillets Battered,8,8,1000,1000,Auburn,1000,10,,,,
346,Woolworths,Frozen Fish Fillets Battered,8,8,1000,1000,Burwood,1000,10,,,,
347,Woolworths,Full Cream Milk Powder,5.7,5.7,1000,1000,Auburn,1000,10,,,,
348,Woolworths,Full Cream Milk Powder,5.7,5.7,1000,1000,Burwood,NA,NA,,,,
349,Woolworths,Gold Sweet Potato,4.9,4.9,1000,1000,Auburn,1000,4.5,,,,
350,Woolworths,Gold Sweet Potato,4.9,4.9,1000,1000,Burwood,1000,4.5,,,,
351,Woolworths,Granny smith apple,5.5,5.5,1000,1000,Auburn,1000,5.5,,,,
352,Woolworths,Granny smith apple,5.5,5.5,1000,1000,Burwood,1000,5.5,,,,
353,Woolworths,Greek Style Yoghurt 7.3%,3.9,3.9,1000,1000,Auburn,1000,4.4,,,,
354,Woolworths,Greek Style Yoghurt 7.3%,3.9,3.9,1000,1000,Burwood,1000,4.4,,,,
355,Woolworths,Greenshell mussels,7.5,7.5,1000,1000,Auburn,1000,6.5,,1,United Fish Co.,Whole Shell Greenshell Mussels Frozen 
356,Woolworths,Greenshell mussels,7.5,7.5,1000,1000,Burwood,1000,6.5,,1,United Fish Co.,Whole Shell Greenshell Mussels Frozen 
357,Woolworths,Heart Smart Extra Lean Beef Mince,9,9,500,500,Auburn,500,10,,,,
358,Woolworths,Heart Smart Extra Lean Beef Mince,9,9,500,500,Burwood,500,10,,,,
359,Woolworths,Heart Smart Extra Lean Pork Mince,8,8,500,500,Auburn,500,6.5,,,,
360,Woolworths,Heart Smart Extra Lean Pork Mince,8,8,500,500,Burwood,500,6.5,,,,
361,Woolworths,Hi fibre bran,3.15,3.15,500,500,Auburn,700,3.5,,,,
362,Woolworths,Hi fibre bran,3.15,3.15,500,500,Burwood,700,3.5,,,,
363,Woolworths,Hotdogs,2.5,2.5,500,500,Auburn,500,3.2,,,,
364,Woolworths,Hotdogs,2.5,2.5,500,500,Burwood,500,3.2,,,,
365,Woolworths,Iceberg Lettuce each,2.9,2.9,500,500,Auburn,500,2.5,,,,
366,Woolworths,Iceberg Lettuce each,2.9,2.9,500,500,Burwood,500,2.5,,,,
367,Woolworths,Jelly Raspberry,0.9,0.9,85,85,Auburn,85,1.35,,,,
368,Woolworths,Jelly Raspberry,0.9,0.9,85,85,Burwood,480,2.11,,,,
369,Woolworths,Lamb Mince,8,8,500,500,Auburn,500,5.5,,,,
370,Woolworths,Lamb Mince,8,8,500,500,Burwood,500,5.5,,,,
371,Woolworths,Lean Beef Mince,14.5,14.5,1000,1000,Auburn,1000,15.5,,,,
372,Woolworths,Lean Beef Mince,14.5,14.5,1000,1000,Burwood,1000,15.5,,,,
373,Woolworths,Lentils No Added Salt,0.8,0.8,420,420,Auburn,420,1.05,,,,
374,Woolworths,Lentils No Added Salt,0.8,0.8,420,420,Burwood,420,1.05,,,,
375,Woolworths,Lite thickened Cream,3,3,600,600,Auburn,300,2.8,,,,
376,Woolworths,Lite thickened Cream,3,3,600,600,Burwood,300,2.8,,,,
377,Woolworths,Loin Steaks Pork,10,10,500,500,Auburn,500,10,,,,
378,Woolworths,Loin Steaks Pork,10,10,500,500,Burwood,500,10,,,,
379,Woolworths,Lychees In Syrup,2.75,2.75,560,560,Auburn,560,2.75,,,,
380,Woolworths,Lychees In Syrup,2.75,2.75,560,560,Burwood,560,2.75,,,,
381,Woolworths,Mandarin Canned,1.75,1.75,310,310,Auburn,310,1.3,,,,
382,Woolworths,Mandarin Canned,1.75,1.75,310,310,Burwood,310,1.3,,,,
383,Woolworths,Mango Slices In Syrup,1.55,1.55,425,425,Auburn,NA,NA,,,,
384,Woolworths,Mango Slices In Syrup,1.55,1.55,425,425,Burwood,NA,NA,,,,
385,Woolworths,Max Charge Cereal,3.5,3.5,560,560,Auburn,495,4.5,,,,
386,Woolworths,Max Charge Cereal,3.5,3.5,560,560,Burwood,495,4.5,,,,
387,Woolworths,Mini Banana Muffin,3.5,3.5,320,320,Auburn,400,6,,1,Woolworths,Banana Muffin Bar 10 Pack
388,Woolworths,Mini Banana Muffin,3.5,3.5,320,320,Burwood,320,4.7,,,,
389,Woolworths,Moisture Infused Pork Chops,18,18,1200,1200,Auburn,1200,21,,,,
390,Woolworths,Moisture Infused Pork Chops,18,18,1200,1200,Burwood,1200,21,,,,
391,Woolworths,Muesli Bar Choc Chip,1.9,1.9,248,248,Auburn,248,2.5,,,,
392,Woolworths,Muesli Bar Choc Chip,1.9,1.9,248,248,Burwood,248,2.5,,,,
393,Woolworths,Orange juice,2,2,2000,2000,Auburn,2000,3.35,,,,
394,Woolworths,Orange juice,2,2,2000,2000,Burwood,2000,3.35,,,,
395,Woolworths,Pasta Spaghetti,0.8,0.8,500,500,Auburn,500,1,,,,
396,Woolworths,Pasta Spaghetti,0.8,0.8,500,500,Burwood,500,1,,,,
397,Woolworths,Peach Slices in Juice,2,2,410,410,Auburn,825,5.3,4.3,1,SPC ,Peaches Sliced in Juice Canned Fruit
398,Woolworths,Peach Slices in Juice,2,2,410,410,Burwood,825,5.3,4.3,1,SPC ,Peaches Sliced in Juice Canned Fruit
399,Woolworths,Pikelets,2,2,200,200,Auburn,200,2.5,,,,
400,Woolworths,Pikelets,2,2,200,200,Burwood,200,2.5,,,,
401,Woolworths,Pineapple In Juice,2.2,2.2,500,500,Auburn,500,2.2,,,,
402,Woolworths,Pineapple In Juice,2.2,2.2,500,500,Burwood,500,2.2,,,,
403,Woolworths,Pineapple Slices In Juice,1.1,1.1,425,425,Auburn,425,1.65,,,,
404,Woolworths,Pineapple Slices In Juice,1.1,1.1,425,425,Burwood,425,1.65,,,,
405,Woolworths,Pitted Dates,1.75,1.75,500,500,Auburn,500,1.85,,,,
406,Woolworths,Pitted Dates,1.75,1.75,500,500,Burwood,500,1.85,,,,
